Power Plant ,Plant Key ,Technology Type ,Operating Capacity,Net Generation,Capacity Factor (%),Heat Rate for Electricity (Btu/kWh),Non-Fuel Variable O&M Cost ($),Fuel Costs ($),Fixed O&M Cost ($),Total Operating & Maintenance Expense ($),Primary Fuel Type ,Marginal Price
King George Landfill Plant,-19666,Gas Turbine,12.9,87055,77.04,16604.08,122181.34,5030119.64,54573.26,5206874.25,Biomass,59.1844349
Kingsport Paper Mill Plant,-15389,Steam Turbine,47,291378,70.77,5395.23,1621960.42,3857527.71,667812.86,6147300.98,Biomass,18.80542845
Kingsville Solar (MOM’s Organic Market),-108528,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Kinzua Pumped Storage Project (Seneca),-69188,Pumped Storage,513,566849,12.61,NA,2033384.04,18553628.26,2644947.88,23231960.18,Water,36.31833575
Kishwaukee Plant,-65475,Internal Combustion,3,5962,22.69,11619.93,108062.47,245386.03,36322.99,389771.5,Biomass,59.28354579
Knouse Foods Solar Plant,-32360,Solar,3,4420,16.82,NA,0,0,79305.97,79305.97,Solar,0
Kyger Creek,-78327,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-50806,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-50805,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-50804,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-50803,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-50802,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-50801,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-41368,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-41367,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-41366,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-41363,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-41361,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
Kyger Creek,-41359,Steam Turbine,990.7,3681044,42.42,10553.68,20391159,75950090.64,55045577,151386826.6,Coal,26.17226245
L&D Landfill Solar Project,-93255,Solar,10,NA,NA,NA,NA,NA,22451.92,NA,Solar,#VALUE!
Ladysmith Peaking,-243,Gas Turbine,915,445362,5.56,10013.82,419070,16198548.65,2819447,19437065.65,Gas,37.31261008
Lake Gas Recovery,-4548,Gas Turbine,6.6,22010,38.07,18031.35,43994.64,1253992.74,87135.77,1385123.15,Biomass,58.97262063
Lake Lynn Power Station,-87127,Hydraulic Turbine,52,106622,23.41,NA,884620.3,0,666749.69,1551369.98,Water,8.296789593
Lake Lynn Power Station,-87126,Hydraulic Turbine,52,106622,23.41,NA,884620.3,0,666749.69,1551369.98,Water,8.296789593
Lakeview Dam Hydroelectric,-21300,Hydraulic Turbine,0.4,NA,NA,NA,NA,NA,6321.04,NA,Water,#VALUE!
Lakeview Gas Recovery,-4567,Internal Combustion,6,44522,84.71,11254.73,571188.48,1646153.6,67448.44,2284790.52,Biomass,49.80329006
"Lakewood Cogeneration, LP",-107844,Combined Cycle,251,1107988,50.39,8279.23,1971066.26,35824459.57,3760814.21,41556340.03,Gas,34.11185485
"Lakewood Cogeneration, LP",-10364,Combined Cycle,251,1107988,50.39,8279.23,1971066.26,35824459.57,3760814.21,41556340.03,Gas,34.11185485
Lakewood Seven Solar Project,-87306,Solar,1,1278,14.59,NA,0,0,26435.32,26435.32,Solar,0
Lancaster County Resource Recovery,-4579,Steam Turbine,32.4,221544,78.06,18610.1,2139111.32,25063939.67,1213818.84,28416869.82,Biomass,122.7884799
Landis Sewerage Authority Solar Project,-59677,Solar,3.7,6587,20.32,NA,0,0,97810.69,97810.69,Solar,0
LaSalle County Generating Station,-4517,Nuclear,2313,18686369,92.22,10400,118257876,156345079.2,167746876.6,442349831.8,Nuclear,14.69536191
Laurel,-4610,Hydraulic Turbine,61,87109,16.3,NA,902926.88,0,527751.29,1430678.17,Water,10.36548325
Laurel Hill,-32385,Wind Turbine,69,172512,28.54,NA,370473.2,0,1240818.64,1611291.84,Wind,2.147521332
Laurel Mountain,-14147,Wind Turbine,97.6,222352,26.01,NA,515842.58,0,1747449.49,2263292.06,Wind,2.319936767
Laurel Mountain Battery Storage Project,-99351,Other,32,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Laurel Ridge Landfill,-9865,Internal Combustion,4,18556,52.96,12098.67,260219.76,817180,44965.63,1122365.39,Biomass,58.06206941
Lawrence County Generating Station,-9088,Gas Turbine,300,19245,0.73,11091.92,2050774,1017851.72,0,3068625.72,Gas,159.450544
Lawrence County Generating Station,-1060,Gas Turbine,300,19245,0.73,11091.92,2050774,1017851.72,0,3068625.72,Gas,159.450544
Lawrenceburg,-58389,Combined Cycle,1131,6774063,68.37,7037.38,7897312,137684892.8,13618496,159200700.8,Gas,21.49112059
Lawrenceville School Solar Facility,-65529,Solar,5.2,9203,20.2,NA,0,0,137463.68,137463.68,Solar,0
Lebanon,-4621,Gas Turbine,20,0,0,12749,0,0,85815.38,85815.38,Oil,#DIV/0!
Lebanon IC,-4622,Internal Combustion,10.6,0,0,11075,0,0,103277.76,103277.76,Oil,#DIV/0!
Lebanon Solar,-33332,Solar,2,3206,18.3,NA,0,0,52870.65,52870.65,Solar,0
Lee County Generating Station,-88862,Gas Turbine,716,24383,0.39,13331.09,801830.48,958814.63,2226420.1,3987065.21,Gas,72.20789525
Leesville,-4631,Hydraulic Turbine,50,69804,15.94,NA,175734,2,1576671,1752407,Water,2.517563463
Lewiston Solar Farm,-79648,Solar,5,8094,18.48,NA,0,0,132176.61,132176.61,Solar,0
Liberty Bell Farm #1,-74692,Internal Combustion,NA,NA,NA,NA,NA,NA,NA,NA,Biomass,#VALUE!
Liberty Electric Power,-88630,Combined Cycle,541,4122956,87,7277.01,2612804.29,87365321.34,5517002.5,95495128.12,Gas,21.82369291
Liberty Landfill,-10756,Internal Combustion,6.4,51351,91.59,12284.4,800109,462828,927850,2190787,Biomass,24.59420459
Limerick,-4657,Nuclear,2386,18931377,90.57,10400,122330102.8,158395011.2,172347796,453072910,Nuclear,14.82856287
Lincoln Energy Center,-101438,Gas Turbine,747.1,19433,0.3,12719.09,833973.96,729084,2324319.96,3887377.92,Gas,80.43317861
Lincoln Energy Center,-101403,Gas Turbine,747.1,19433,0.3,12719.09,833973.96,729084,2324319.96,3887377.92,Gas,80.43317861
Lincoln Financial Field Solar Plant,-107383,Solar,2.9,3465,13.64,NA,0,0,76662.44,76662.44,Solar,0
Lincoln Wind Farm,-19560,Wind Turbine,2.5,5230,23.88,NA,38289.01,0,111418.36,149707.37,Wind,7.321034417
Linden CC,-257,Combined Cycle,1265.4,7532792,67.96,7314.51,5163111.69,232319794.2,11186448.99,248669354.8,Gas,31.52654499
Linden GT,-4669,Gas Turbine,336.2,65652,2.23,13271.32,420285.17,4216552.03,1086315.09,5723152.28,Gas,70.62750868
Linden Solar Farm,-19765,Solar,2.7,3901,16.49,NA,0,0,71375.37,71375.37,Solar,0
Livingston Solar Canopies,-66179,Solar,6.4,9259,16.52,NA,0,0,169186.06,169186.06,Solar,0
Livingston Solar Farm,-65495,Solar,1.2,1445,13.75,NA,0,0,31722.39,31722.39,Solar,0
Lock Haven,-93165,Gas Turbine,15,27,0.02,15888.89,6696.49,5157.33,185852.93,197706.75,Oil,439.0303704
Lockport Powerhouse,-4697,Hydraulic Turbine,12,41534,39.51,NA,537726.48,0,136478.18,674204.65,Water,12.94665768
Locust Ridge II,-100815,Wind Turbine,102,212600,23.79,NA,577406.86,0,1883621.81,2461028.67,Wind,2.715930668
Locust Ridge II,-100814,Wind Turbine,102,212600,23.79,NA,577406.86,0,1883621.81,2461028.67,Wind,2.715930668
Locust Ridge Wind Farm,-100724,Wind Turbine,26,59454,26.1,NA,292929.31,0,684226.23,977155.54,Wind,4.926990783
Locust Ridge Wind Farm,-100723,Wind Turbine,26,59454,26.1,NA,292929.31,0,684226.23,977155.54,Wind,4.926990783
Logan,-94634,Steam Turbine,219,577780,30.12,10664.06,3140577.34,21024936.37,5700442.47,29865956.17,Coal,41.82476671
Logan,-94632,Steam Turbine,219,577780,30.12,10664.06,3140577.34,21024936.37,5700442.47,29865956.17,Coal,41.82476671
London,-4715,Hydraulic Turbine,11.5,77737,77.17,NA,250361,6367,826573,1083301,Water,3.302520036
Long Farm 46 Solar,-102566,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Longview Power,-112162,Steam Turbine,700,3055709,49.83,9003.08,9088055.32,73953065.72,20637263.45,103678384.5,Coal,27.17572944
Longview Power,-104885,Steam Turbine,700,3055709,49.83,9003.08,9088055.32,73953065.72,20637263.45,103678384.5,Coal,27.17572944
Longview Power,-96842,Steam Turbine,700,3055709,49.83,9003.08,9088055.32,73953065.72,20637263.45,103678384.5,Coal,27.17572944
Longview Power,-89920,Steam Turbine,700,3055709,49.83,9003.08,9088055.32,73953065.72,20637263.45,103678384.5,Coal,27.17572944
Longview Power,-89917,Steam Turbine,700,3055709,49.83,9003.08,9088055.32,73953065.72,20637263.45,103678384.5,Coal,27.17572944
Longview Power,-89915,Steam Turbine,700,3055709,49.83,9003.08,9088055.32,73953065.72,20637263.45,103678384.5,Coal,27.17572944
Longwood Gardens Solar Plant,-47934,Solar,1.3,2158,18.95,NA,0,0,34365.92,34365.92,Solar,0
Lookout WindPower LLC,-106737,Wind Turbine,37.8,107942,32.6,NA,324752.21,0,848701.65,1173453.86,Wind,3.008580627
Lookout WindPower LLC,-103879,Wind Turbine,37.8,107942,32.6,NA,324752.21,0,848701.65,1173453.86,Wind,3.008580627
Lookout WindPower LLC,-99381,Wind Turbine,37.8,107942,32.6,NA,324752.21,0,848701.65,1173453.86,Wind,3.008580627
Lorain County Landfill,-17040,Internal Combustion,27.2,156992,65.89,12893.19,1924578.67,7367818.64,349685.45,9642082.76,Biomass,59.19026008
L'Oreal Piscataway Solar Project,-48466,Solar,1,1345,15.35,NA,0,0,26435.32,26435.32,Solar,0
Louisa Generating,-62,Gas Turbine,555,394708,8.12,11446.47,1832353,17432356.66,1870611,21135320.66,Gas,48.80749734
Low Moor,-4761,Gas Turbine,65,92,0.02,20913.04,18492,36318,186398,241208,Oil,595.7608696
Lower Mount Bethel,-91175,Combined Cycle,627.5,4291180,78.07,7361.11,2853630.9,119424077.6,6071822.67,128349531.1,Gas,28.49512453
Loyola University Health Plant,-65429,Gas Turbine,11.2,20864,21.27,11372.75,34518.44,699914.15,64616.94,799049.52,Gas,35.20094852
LSP University Park,-59502,Gas Turbine,540,266444,5.63,10608.07,737033.45,8337276.26,1686579.31,10760889.01,Gas,34.05709909
Luke Mill,-107966,Steam Turbine,60,195534,37.2,7057.03,1758464.05,2350056.92,787388.16,4895909.13,Coal,21.01179831
Luke Mill,-86238,Steam Turbine,60,195534,37.2,7057.03,1758464.05,2350056.92,787388.16,4895909.13,Coal,21.01179831
Luke Mill,-86202,Steam Turbine,60,195534,37.2,7057.03,1758464.05,2350056.92,787388.16,4895909.13,Coal,21.01179831
Luray,-87167,Hydraulic Turbine,1.6,5983,42.69,NA,100679.86,0,173255.32,273935.18,Water,16.82765502
Luray,-87166,Hydraulic Turbine,1.6,5983,42.69,NA,100679.86,0,173255.32,273935.18,Water,16.82765502
Lycoming County Landfill Project (PPL Renewable),-99183,Internal Combustion,3,20813,79.2,11464.81,279890.58,851537.96,37622.37,1169050.91,Biomass,54.36162687
M & M Mars - Chicago,-4804,Gas Turbine,3.8,27728,83.3,6243.22,50878.67,510633.12,51931.35,613443.14,Gas,20.25071372
M & M Mars - New Jersey,-4805,Combined Cycle,11.2,55842,56.92,12310,448809.36,2598833.68,288650.39,3336293.42,Gas,54.57617994
Macy's East Brunswick Solar,-18944,Solar,0.42,NA,NA,NA,NA,NA,11102.84,NA,Solar,#VALUE!
Macy's East Brunswick Solar,-13666,Solar,0.42,NA,NA,NA,NA,NA,11102.84,NA,Solar,#VALUE!
Madison Generating Station,-10597,Gas Turbine,704,314598,5.1,13293.64,1490540,13240446.33,3361062,18092048.33,Gas,46.82479332
Magnolia Solar,-90263,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Magnolia Solar,-90262,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Mahoning Creek,-80826,Hydraulic Turbine,6.7,16720,28.49,NA,400673.45,0,55202.6,455876.05,Water,23.96372309
Mahoning Creek,-80825,Hydraulic Turbine,6.7,16720,28.49,NA,400673.45,0,55202.6,455876.05,Water,23.96372309
Mahoning Renewable Energy Facility,-32728,Internal Combustion,4,32018,91.38,12073.96,420301.58,1298124.1,51462.55,1769888.23,Biomass,53.67061278
Mallard Lake Electric,-18494,Combined Cycle,16.8,58427,39.7,13247.08,469585.34,3173756.05,432975.58,4076316.96,Biomass,62.3571532
Mallard Lake Electric,-18492,Combined Cycle,16.8,58427,39.7,13247.08,469585.34,3173756.05,432975.58,4076316.96,Biomass,62.3571532
Mallard Lake Electric,-4840,Combined Cycle,16.8,58427,39.7,13247.08,469585.34,3173756.05,432975.58,4076316.96,Biomass,62.3571532
Manahawkin Solar,-18952,Solar,0.21,NA,NA,NA,NA,NA,5551.42,NA,Solar,#VALUE!
Manalapan Village Solar Project,-24041,Solar,4.6,4502,11.17,NA,0,0,121602.48,121602.48,Solar,0
Mannington Mills Cogeneration Facility,-19814,Internal Combustion,8.4,NA,NA,11075,NA,NA,79732.95,NA,Gas,#VALUE!
Mantua - KHL722,-18953,Solar,0.2,NA,NA,NA,NA,NA,5287.06,NA,Solar,#VALUE!
Marcus Hook,-114697,Combined Cycle,845.5,4526102,61.11,7308.21,3712655.27,96319260.23,7874575.19,107906490.7,Gas,22.10111825
Marcus Hook Cogeneration,-114694,Gas Turbine,50,142,0.03,5901.41,35218.58,2440.18,237778.9,275437.66,Gas,265.2025352
Marina Thermal,-101894,Steam Turbine,8,NA,NA,9952,NA,NA,233920.16,NA,Coal,#VALUE!
Marlboro Mushrooms Solar Field,-87590,Solar,1,1737,19.83,NA,0,0,26435.32,26435.32,Solar,0
Marmet,-4889,Hydraulic Turbine,33.9,64989,21.88,NA,482827,6692,1062055,1551574,Water,7.532336242
Marsh Run,-109164,Gas Turbine,561,681287,13.86,10762.91,1684024,26099628.12,4557461,32341113.12,Gas,40.78112766
Martin Limestone Solar Array Plant,-65411,Solar,1,1450,16.55,NA,0,0,26435.32,26435.32,Solar,0
Martins Creek 3 and 4,-108169,Steam Turbine,1729.7,4230335,27.92,11122.32,8040194.78,182715086.3,17787095.56,208542376.6,Gas,45.09224
Martins Creek CT,-108221,Gas Turbine,78.8,4302,0.62,15155.97,138074.38,246505.36,374349.69,758929.44,Gas,89.3955695
Martinsville,-4921,Hydraulic Turbine,1.2,2492,23.71,NA,39366.74,0,129941.49,169308.23,Water,15.79724719
Martinsville Sanitary Landfill,-22138,Internal Combustion,1,4315,49.26,10279.95,48033.5,159438.75,11241.41,218713.66,Biomass,48.08163384
Maryland Solar Project,-95257,Solar,20.9,36536,19.96,NA,0,0,552498.24,552498.24,Solar,0
Masser Farms Realty Solar,-28065,Solar,1,1160,13.24,NA,0,0,26435.32,26435.32,Solar,0
Matrix Buildings A&B (Perth Amboy) Solar,-24941,Solar,6,3545,6.74,NA,0,0,158611.94,158611.94,Solar,0
MATS Wind,-17416,Wind Turbine,0.55,NA,NA,NA,NA,NA,11845.66,NA,Wind,#VALUE!
Mays Landing Solar Facility,-31804,Solar,4,NA,NA,NA,NA,NA,105741.29,NA,Solar,#VALUE!
MC1 Solar Farm,-82156,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
MCCo Solar Generating Facility,-79727,Solar,0.9,716,9.08,NA,0,0,23791.79,23791.79,Solar,0
McGraw Hill Solar Farm,-33354,Solar,12,18105,17.22,NA,0,0,317223.87,317223.87,Solar,0
McHenry Storage Project,-104187,Other,20,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
McKee City Solar Phase 2,-48027,Solar,2.6,3345,14.69,NA,0,0,68731.84,68731.84,Solar,0
McKee Run,-4961,Steam Turbine,136,11557,0.97,13090.94,433732.14,697883.4,2307222.73,3438838.27,Gas,97.91602838
Meadow Lake I Wind Farm,-102825,Wind Turbine,199.7,512009,29.27,NA,1013678.15,0,3506569.36,4520247.51,Wind,1.979805335
Meadow Lake I Wind Farm,-46331,Wind Turbine,199.7,512009,29.27,NA,1013678.15,0,3506569.36,4520247.51,Wind,1.979805335
Meadow Lake I Wind Farm,-46329,Wind Turbine,199.7,512009,29.27,NA,1013678.15,0,3506569.36,4520247.51,Wind,1.979805335
Meadow Lake I Wind Farm,-46025,Wind Turbine,199.7,512009,29.27,NA,1013678.15,0,3506569.36,4520247.51,Wind,1.979805335
Meadow Lake I Wind Farm,-46023,Wind Turbine,199.7,512009,29.27,NA,1013678.15,0,3506569.36,4520247.51,Wind,1.979805335
Meadow Lake Wind Farm II,-102827,Wind Turbine,99,222262,25.63,NA,543964.33,0,1802246.41,2346210.75,Wind,2.4474014
Meadow Lake Wind Farm II,-46657,Wind Turbine,99,222262,25.63,NA,543964.33,0,1802246.41,2346210.75,Wind,2.4474014
Meadow Lake Wind Farm II,-46656,Wind Turbine,99,222262,25.63,NA,543964.33,0,1802246.41,2346210.75,Wind,2.4474014
Meadow Lake Wind Farm II,-46655,Wind Turbine,99,222262,25.63,NA,543964.33,0,1802246.41,2346210.75,Wind,2.4474014
Meadow Lake Wind Farm II,-46654,Wind Turbine,99,222262,25.63,NA,543964.33,0,1802246.41,2346210.75,Wind,2.4474014
Meadow Lake Wind Farm III,-102830,Wind Turbine,103.5,238493,26.3,NA,564366.2,0,1876998.35,2441364.55,Wind,2.366384758
Meadow Lake Wind Farm III,-46451,Wind Turbine,103.5,238493,26.3,NA,564366.2,0,1876998.35,2441364.55,Wind,2.366384758
Meadow Lake Wind Farm III,-46449,Wind Turbine,103.5,238493,26.3,NA,564366.2,0,1876998.35,2441364.55,Wind,2.366384758
Meadow Lake Wind Farm III,-46045,Wind Turbine,103.5,238493,26.3,NA,564366.2,0,1876998.35,2441364.55,Wind,2.366384758
Meadow Lake Wind Farm III,-46043,Wind Turbine,103.5,238493,26.3,NA,564366.2,0,1876998.35,2441364.55,Wind,2.366384758
Meadow Lake Wind Farm IV,-102832,Wind Turbine,98.7,188468,21.8,NA,538482.5,0,1797262.95,2335745.45,Wind,2.857156122
Meadow Lake Wind Farm IV,-46445,Wind Turbine,98.7,188468,21.8,NA,538482.5,0,1797262.95,2335745.45,Wind,2.857156122
Meadow Lake Wind Farm IV,-46443,Wind Turbine,98.7,188468,21.8,NA,538482.5,0,1797262.95,2335745.45,Wind,2.857156122
Meadow Lake Wind Farm IV,-46041,Wind Turbine,98.7,188468,21.8,NA,538482.5,0,1797262.95,2335745.45,Wind,2.857156122
Meadow Lake Wind Farm IV,-46039,Wind Turbine,98.7,188468,21.8,NA,538482.5,0,1797262.95,2335745.45,Wind,2.857156122
MEBA Calhoon Solar Project,-113994,Solar,1.5,NA,NA,NA,NA,NA,39652.98,NA,Solar,#VALUE!
Mecklenburg Cogeneration Facility,-8979,Steam Turbine,138,335919,27.79,12075.05,6550605,11268317.26,2642549,20461471.26,Coal,53.04529443
Medford WWTP,-87181,Solar,1.3,2028,17.81,NA,0,0,34365.92,34365.92,Solar,0
Mehoopany,-13559,Steam Turbine,1.6,3918,27.95,4901,147041.84,27885.85,38250.92,213178.61,Gas,44.64718989
Mehoopany CT,-4994,Gas Turbine,123,831283,77.15,5580.11,1166702.37,6735719.54,466518.31,8368940.21,Gas,9.506295582
Mehoopany Wind,-34739,Wind Turbine,142.6,389056,31.15,NA,697992.83,0,2463428.06,3161420.89,Wind,1.794067769
Mehoopany Wind,-24772,Wind Turbine,142.6,389056,31.15,NA,697992.83,0,2463428.06,3161420.89,Wind,1.794067769
Meldahl Hydropower Project,-78893,Hydraulic Turbine,NA,NA,NA,NA,NA,NA,NA,NA,Water,#VALUE!
Meldahl Hydropower Project,-21470,Hydraulic Turbine,NA,NA,NA,NA,NA,NA,NA,NA,Water,#VALUE!
Mendota Hills Wind Farm,-98912,Wind Turbine,50.4,80453,18.22,NA,484798.04,0,1215710.92,1700508.96,Wind,6.025854101
Mercer,-5012,Steam Turbine,632,265550,4.8,12613.13,2388127.53,9577763.71,16665092.5,28630983.74,Coal,45.06078418
Mercer County College Solar,-87700,Solar,7.5,11082,16.87,NA,0,0,198264.92,198264.92,Solar,0
Mercer Mall,-65047,Solar,1.1,1650,17.12,NA,0,0,29078.85,29078.85,Solar,0
Merck Rahway,-5014,Steam Turbine,15,14872,11.32,4633,558143.5,310418.06,358602.39,1227163.94,Gas,58.40247176
Meyersdale Wind Project,-8567,Wind Turbine,30,74089,28.19,NA,400778.84,0,876835.48,1277614.33,Wind,5.409424341
Miami Fort,-105317,Steam Turbine,1020,6605083,68.49,10346.19,10090601,161126719,44494934,215712254,Coal,25.92205427
Miami Fort,-105316,Steam Turbine,1020,6605083,68.49,10346.19,10090601,161126719,44494934,215712254,Coal,25.92205427
Miami Fort,-105313,Steam Turbine,1020,6605083,68.49,10346.19,10090601,161126719,44494934,215712254,Coal,25.92205427
Miami Fort,-88866,Steam Turbine,1020,6605083,68.49,10346.19,10090601,161126719,44494934,215712254,Coal,25.92205427
Miami Fort CT,-88867,Gas Turbine,80,25,0,100000,6200.45,30061.08,378009.66,414271.19,Oil,1450.4612
Mickleton,-21089,Gas Turbine,78,3276,0.48,17754.58,133214.21,169368.15,362772.54,665354.9,Gas,92.36335775
Middle Peninsula Landfill,-15860,Internal Combustion,6.4,50630,90.31,11713.37,650239.03,1966025.88,80520.94,2696785.85,Biomass,51.67420324
Middlesex Apple Orchard Complex,-58032,Solar,4.7,7811,18.97,NA,0,0,124246.02,124246.02,Solar,0
Middlesex Generating Facility,-13958,Combined Cycle,20.4,91144,51,11313.88,732536.09,3605684.9,525756.06,4863977.05,Biomass,47.59743911
Middletown Cogeneration,-107501,Steam Turbine,47,404446,98.23,11373.33,1827726.82,28524.49,456117.8,2312369.12,Other Nonrenewable,4.589614708
Middletown Cogeneration,-107500,Steam Turbine,47,404446,98.23,11373.33,1827726.82,28524.49,456117.8,2312369.12,Other Nonrenewable,4.589614708
Middletown Cogeneration,-107499,Steam Turbine,47,404446,98.23,11373.33,1827726.82,28524.49,456117.8,2312369.12,Other Nonrenewable,4.589614708
Midtown Thermal Energy Plant,-104477,Gas Turbine,5.7,NA,NA,11328,NA,NA,26127.64,NA,Gas,#VALUE!
Military Construction Project 222,-37879,Steam Turbine,4.6,NA,NA,11655,NA,NA,55024.4,NA,Gas,#VALUE!
Mill Creek Solar,-36123,Solar,3.5,5816,18.97,NA,0,0,92523.63,92523.63,Solar,0
Mill Run Wind Farm,-57760,Wind Turbine,15,17795,13.54,NA,130277.82,0,668510.16,798787.98,Wind,7.321035122
MillerCoors Shenandoah Brewery,-65025,Gas Turbine,1.4,1713,13.97,12681.26,5866.51,59630.48,13407.14,78904.13,Biomass,38.23525394
MillerCoors Shenandoah Brewery,-65024,Gas Turbine,1.4,1713,13.97,12681.26,5866.51,59630.48,13407.14,78904.13,Biomass,38.23525394
Millersville LFG,-94736,Internal Combustion,3,25934,98.68,10807.05,338776.96,1085296.94,37622.37,1461696.27,Biomass,54.91146372
Millersville LFG,-65723,Internal Combustion,3,25934,98.68,10807.05,338776.96,1085296.94,37622.37,1461696.27,Biomass,54.91146372
Millville,-87152,Hydraulic Turbine,3,11915,45.34,NA,233439.53,0,324853.72,558293.25,Water,19.59207134
Millville,-87151,Hydraulic Turbine,3,11915,45.34,NA,233439.53,0,324853.72,558293.25,Water,19.59207134
Millville Solar Project(Mill-Green),-55352,Solar,1.5,1978,15.05,NA,0,0,39652.98,39652.98,Solar,0
Milton NaS Battery Storage Project,-106359,Other,2,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Minonk Wind Farm,-70894,Wind Turbine,192.3,639241,37.95,NA,932256.4,0,3289021.65,4221278.05,Wind,1.458380173
Mitchell (WV),-86756,Steam Turbine,1560,5367819,39.28,10083.59,18661502,133720807.7,49986971,202369280.7,Coal,28.38812369
Mitchell (WV),-71405,Steam Turbine,1560,5367819,39.28,10083.59,18661502,133720807.7,49986971,202369280.7,Coal,28.38812369
Modlin Farm Solar,-93401,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Mon Valley Works,-5176,Steam Turbine,61.9,225380,41.56,17975.76,4641031.42,208149.84,3426080.13,8275261.38,Other Nonrenewable,21.51557929
Monmouth Landfill Gas to Energy Project,-69477,Gas Turbine,8.2,30642,42.66,15517.53,44459.53,1841253.96,76787.1,1962500.58,Biomass,61.54015697
Monmouth Landfill Gas to Energy Project,-69476,Gas Turbine,8.2,30642,42.66,15517.53,44459.53,1841253.96,76787.1,1962500.58,Biomass,61.54015697
Monmouth Landfill Gas to Energy Project,-69475,Gas Turbine,8.2,30642,42.66,15517.53,44459.53,1841253.96,76787.1,1962500.58,Biomass,61.54015697
Monmouth Landfill Gas to Energy Project,-69474,Gas Turbine,8.2,30642,42.66,15517.53,44459.53,1841253.96,76787.1,1962500.58,Biomass,61.54015697
Monroe Solar,-18954,Solar,0.46,NA,NA,NA,NA,NA,12160.25,NA,Solar,#VALUE!
Montclair Cogeneration Facility,-101280,Gas Turbine,5.4,NA,NA,11315,NA,NA,NA,NA,Gas,#VALUE!
Monterey Diesel Generation Facility,-89483,Internal Combustion,NA,NA,NA,NA,NA,NA,NA,NA,Oil,#VALUE!
Montgomery County Resource Recovery,-5197,Steam Turbine,56,329219,67.11,18158.15,2345698.42,37811003.91,1188453.8,41345156.14,Biomass,121.9756525
Montour,-108227,Steam Turbine,1548.5,6644098,48.98,9813.28,20854666.03,205834212.4,44306804.71,270995683.2,Coal,34.11883425
Montpelier,-5205,Internal Combustion,10.8,434,0.46,10317.97,88354.78,53803.46,132711.84,274870.08,Oil,327.5535484
Montpelier Generating Station,-30275,Gas Turbine,236,93313,4.51,11325.61,319632.26,2980581.58,762433.54,4062647.38,Gas,35.36713898
Monument,-30195,Internal Combustion,12,52,0.05,11038.46,3196,10370,0,13566,Oil,260.8846154
Mooseheart Power House,-5219,Internal Combustion,1.8,0,0,11075,0,0,17085.63,17085.63,Gas,#DIV/0!
Morgans Corner Solar Energy Project,-104189,Solar,20,117,0.79,NA,0,0,44903.84,44903.84,Solar,0
Morgantown,-106223,Steam Turbine,1205,4238250,40.15,10212.05,16102332.5,143272304.1,34066371.92,193441008.5,Coal,37.60387816
Morgantown CT,-106225,Gas Turbine,270,6344,0.27,18755.67,346702.2,1429764.3,960550.07,2737016.57,Oil,280.0230927
Morgantown Energy Facility,-94638,Steam Turbine,50,405911,92.67,8771.67,1260966.21,6095921.6,656156.8,8013044.61,Coal,18.1243864
Morgantown Energy Facility,-94636,Steam Turbine,50,405911,92.67,8771.67,1260966.21,6095921.6,656156.8,8013044.61,Coal,18.1243864
